clase	archivo	linea	texto
PANTALLA	Views/ServicesSettingsView.swift	193	Tecnicamente la mejor opcion de musica libre, pero sus terminos prohiben las apps disenadas para cachear contenido u ofrecer acceso offline -- que es literalmente lo que hace Aura Studio.
PANTALLA	Views/ServicesSettingsView.swift	200	Obliga a enlazar las imagenes desde sus servidores en vez de guardarlas. Una biblioteca local rompe esa condicion por definicion.
PANTALLA	Views/ServicesSettingsView.swift	276	Pega tu API key aquí
PANTALLA	Views/SettingsSectionView.swift	240	\(scan.count) archivos, \(ByteCountFormatter.string(fromByteCount: Int64(scan.totalBytes), countStyle: .file))
PANTALLA	Views/SettingsSectionView.swift	408	Usar esta carpeta
PANTALLA	Views/SettingsSectionView.swift	409	Elige (o crea) la carpeta donde vivira tu biblioteca Aura.
PANTALLA	Views/SimilarItemsView.swift	227	No se encontraron elementos parecidos en tu biblioteca.
PANTALLA	Views/SimilarItemsView.swift	227	Nada que mostrar con este filtro.
PANTALLA	Views/SimilarItemsView.swift	415	Este es el que se conserva
PANTALLA	Views/SimilarItemsView.swift	415	Conservar este en lugar del marcado
PANTALLA	Views/SimilarItemsView.swift	445	Sin artista
PANTALLA	Views/SimilarItemsView.swift	445	Sin álbum
PANTALLA	Views/SimilarItemsView.swift	451	Sin categoría
PANTALLA	Views/SimilarItemsView.swift	464	carátula
PANTALLA	Views/SimilarItemsView.swift	464	póster
PANTALLA	Views/SimilarItemsView.swift	495	Se quitó «\(displayTitle(item))» de la biblioteca.
PANTALLA	Views/SimilarItemsView.swift	544	Elementos quitados de la biblioteca: \(losers.count). Se conservó «\(kept)».
PANTALLA	Views/SyncSheets.swift	130	¿Eliminar \(pendingDeletion?.count ?? 0) archivo(s) del iPod?
PANTALLA	Views/ThemesView.swift	54	Ponle un nombre al tema.
PANTALLA	Views/ThemesView.swift	59	"\""\(trimmedName)\"" no produce un id válido -- usa letras, números y espacios."
PANTALLA	Views/ThemesView.swift	163	"¿Eliminar \""\(pendingDelete?.name ?? "
PANTALLA	Views/ThemesView.swift	275	Elige la carpeta con fonts/ e icons/masks/ ya generados.
PANTALLA	Views/UpdateBootloaderView.swift	36	Qué es el arranque
PANTALLA	Views/UpdateBootloaderView.swift	37	El programa diminuto que corre apenas enciendes el iPod, antes que \(firmwareName): dibuja la pantalla de arranque y decide qué sistema iniciar. Vive en un chip aparte, no en el disco.
PANTALLA	Views/UpdateBootloaderView.swift	39	Por qué hace falta el modo DFU
PANTALLA	Views/UpdateBootloaderView.swift	40	Ese chip solo se puede escribir con el iPod en modo DFU. Es el mismo paso que hiciste al instalar; la app te va a guiar y son unos segundos.
PANTALLA	Views/UpdateBootloaderView.swift	42	Qué no se toca
PANTALLA	Views/UpdateBootloaderView.swift	43	Nada del disco: tu música, tus fotos, tus listas y tus ajustes se quedan exactamente como están. No se formatea ni se copia ningún archivo.
PANTALLA	Views/UpdateBootloaderView.swift	45	No es obligatorio
PANTALLA	Views/UpdateBootloaderView.swift	46	\(firmwareName) funciona igual con el arranque que ya tienes: lo único que cambia es la pantalla que ves al encender.
PANTALLA	Views/UpdateBootloaderView.swift	50	Actualizar el arranque
PANTALLA	Views/UpdateBootloaderView.swift	61	Esta versión de Aura Studio trae un arranque más nuevo que el que tiene grabado tu iPod.
PANTALLA	Views/UpdateBootloaderView.swift	63	Aura Studio no sabe qué versión del arranque tiene grabada tu iPod -- lo instaló otra computadora, o una versión anterior de esta app que no lo anotaba. Actualizarlo lo deja al día; si ya lo estaba, n
PANTALLA	Views/WelcomeView.swift	27	Restaurar iPod original
PANTALLA	Views/WelcomeView.swift	31	Este asistente va a instalar el bootloader y el firmware \(firmwareName) en tu iPod Classic 6G. Vas a necesitar el dispositivo conectado por USB en los proximos pasos.
PANTALLA	Views/WelcomeView.swift	32	Este asistente va a quitar el bootloader y devolver tu iPod al arranque original de Apple. El firmware no se borra del disco, solo dejas de arrancarlo.
TRAMPA	ViewModels/LibraryViewModel.swift	557	".hasPrefix(""no se pudieron escribir"")  ←  if !result.written, let reason = result.reason, reason.hasPrefix(""no se pudieron escribir"") {"
TRAMPA	ViewModels/LibraryViewModel.swift	1372	".hasPrefix(""no se pudieron escribir"")  ←  } else if let reason = result.reason, reason.hasPrefix(""no se pudieron escribir"") {"
