clave,motivo,texto es,texto ja,texto de,texto ru,texto fr
settings.migrate-settings-detail,acción de riesgo,"Pone al día una biblioteca hecha con una versión anterior: escribe las etiquetas del catálogo en las copias, renombra los archivos preparados y limpia lo que ya no le pertenece a nadie. Puedes migrar aunque Aura no te haya avisado: hay un caso que solo se detecta al migrar, porque hay que abrir los archivos para verlo -- copias cuyas etiquetas no coinciden con lo que dice tu catálogo.",以前のバージョンで作られたライブラリを最新の状態にします。カタログのタグをコピーに書き込み、準備済みファイルの名前を変更し、どこにも属さなくなったものを整理します。Aura からの案内がなくても移行できます。移行のときにしか見つからない場合があるからです。ファイルを開かないと分からない、タグがカタログと食い違っているコピーです。,"Bringt eine mit einer älteren Version angelegte Mediathek auf den neuesten Stand: schreibt die Tags des Katalogs in die Kopien, benennt die vorbereiteten Dateien um und räumt auf, was zu nichts mehr gehört. Du kannst migrieren, auch wenn Aura dich nicht dazu aufgefordert hat: Ein Fall zeigt sich erst bei der Migration, weil dafür die Dateien geöffnet werden müssen – Kopien, deren Tags nicht zu dem passen, was dein Katalog sagt.","Приводит в порядок медиатеку, созданную предыдущей версией: записывает теги каталога в копии, переименовывает подготовленные файлы и убирает то, что больше никому не принадлежит. Мигрировать можно, даже если Aura вам этого не предлагала: один случай виден только во время миграции, потому что для этого нужно открыть файлы — копии, теги которых не совпадают с тем, что говорит ваш каталог.","Met à jour une bibliothèque créée avec une version antérieure : écrit les tags du catalogue dans les copies, renomme les fichiers préparés et nettoie ce qui n’appartient plus à rien. Vous pouvez migrer même si Aura ne vous l’a pas proposé : un cas n’apparaît qu’au moment de la migration, car il faut ouvrir les fichiers pour le voir — des copies dont les tags ne correspondent pas à ce que dit votre catalogue."
similar-items-view.aplica-solo-estos-cambios-artista-album,texto de riesgo,Aplica solo estos cambios de artista/álbum/título. No elimina nada.,アーティスト / アルバム / タイトルの変更だけを適用します。何も削除しません。,Wendet nur diese Änderungen an Interpret/Album/Titel an. Es wird nichts gelöscht.,Применяет только эти изменения исполнителя/альбома/названия. Ничего не удаляет.,N’applique que ces changements d’artiste/album/titre. Ne supprime rien.
similar-items-view.canciones-videos-o-fotos-que-parecen,texto de riesgo,"Canciones, videos o fotos que parecen estar dos veces en tu biblioteca, con distinta metadata o distinto formato.",メタデータや形式が違うだけで、ライブラリに二重に入っているように見える曲、ビデオ、写真です。,"Titel, Videos oder Fotos, die zweimal in deiner Mediathek zu sein scheinen, mit anderen Metadaten oder in einem anderen Format.","Треки, видео или фото, которые, похоже, есть в вашей медиатеке дважды — с разными метаданными или в разном формате.","Morceaux, vidéos ou photos qui semblent présents deux fois dans votre bibliothèque, avec des métadonnées ou un format différents."
similar-items-view.conservar-marcado-eliminar-resto,texto de riesgo,Conservar el marcado y eliminar el resto,印を付けたものを残し、ほかを削除,Das markierte behalten und den Rest löschen,Оставить отмеченный и удалить остальные,Conserver celui qui est marqué et supprimer le reste
similar-items-view.eliminar-solo-este,texto de riesgo,Eliminar solo este,これだけ削除,Nur dieses löschen,Удалить только этот,Supprimer seulement celui-ci
storage-change-only-affects-future,compartida con Windows,Cambiar este ajuste solo afecta lo que importes de ahora en adelante: lo que ya está en tu biblioteca se queda como está.,この設定を変更しても、影響するのはこれから読み込むものだけです。すでにライブラリにあるものはそのままです。,"Diese Änderung gilt nur für das, was du ab jetzt importierst: Was schon in deiner Mediathek ist, bleibt, wie es ist.","Изменение этой настройки влияет только на то, что вы импортируете дальше: то, что уже в медиатеке, остаётся как есть.",Modifier ce réglage n’affecte que ce que vous importerez désormais : ce qui est déjà dans votre bibliothèque reste tel quel.
storage-copy-explainer,compartida con Windows,"Copiar a la Biblioteca de Aura: Aura controla los archivos, edita sus etiquetas y los sincroniza directo; ocupa espacio en disco (una copia); puedes borrar tus originales después.",Aura ライブラリにコピー: Aura がファイルを管理し、タグを編集し、そのまま同期します。ディスク容量を使います（コピーが 1 つ）。元のファイルはあとで削除できます。,"In die Aura-Mediathek kopieren: Aura verwaltet die Dateien, bearbeitet ihre Tags und synchronisiert sie direkt; das braucht Speicherplatz (eine Kopie); deine Originale kannst du danach löschen.","Копировать в медиатеку Aura: Aura управляет файлами, правит их теги и синхронизирует напрямую; это занимает место на диске (одна копия); свои оригиналы потом можно удалить.","Copier dans la bibliothèque Aura : Aura gère les fichiers, modifie leurs tags et les synchronise directement ; cela occupe de l’espace disque (une copie) ; vous pouvez supprimer vos originaux ensuite."
storage-reference-explainer,compartida con Windows,"Referenciar en su lugar: no ocupa espacio extra ni toca tus archivos; Aura mantiene una versión preparada aparte (.preparados/), las ediciones viven solo en Aura y en el iPod, y si el disco original no está, esas canciones no se pueden sincronizar.",その場所のまま参照: 追加の容量を使わず、あなたのファイルにも触れません。Aura は準備済みのバージョンを別に保持し（.preparados/）、編集内容は Aura と iPod の中だけに存在します。元のディスクがない場合、それらの曲は同期できません。,"An Ort und Stelle referenzieren: kein zusätzlicher Speicherplatz, und deine Dateien werden nie angerührt; Aura hält eine vorbereitete Fassung separat (.preparados/), Änderungen leben nur in Aura und auf dem iPod, und wenn die ursprüngliche Festplatte fehlt, lassen sich diese Titel nicht synchronisieren.","Ссылаться на них на месте: не занимает лишнего места и не трогает ваши файлы; Aura хранит подготовленную версию отдельно (.preparados/), правки живут только в Aura и на iPod, а если исходный диск недоступен, эти треки синхронизировать не получится.","Les référencer sur place : aucun espace supplémentaire et vos fichiers ne sont jamais touchés ; Aura conserve une version préparée à part (.preparados/), les modifications ne vivent que dans Aura et sur l’iPod, et si le disque d’origine est absent, ces morceaux ne peuvent pas être synchronisés."
storage-section-title,compartida con Windows,Cómo guardar tu música,音楽の保存方法,Wie deine Musik gespeichert wird,Как хранить вашу музыку,Comment stocker votre musique
sync-sheets.antes-sincronizar,acción de riesgo,Antes de sincronizar,同期の前に,Vor dem Synchronisieren,Перед синхронизацией,Avant de synchroniser
sync-sheets.archivo-s-importado-s-revisalos-musica,acción de riesgo,%lld archivo(s) importado(s) -- revísalos en Música/Video/Fotos.,%lld 件のファイルを読み込みました。ミュージック / ビデオ / 写真で確認してください。,%lld Datei(en) importiert – sieh unter Musik/Video/Fotos nach.,"Импортировано файлов: %lld — посмотрите в разделах «Музыка», «Видео» и «Фото».",%lld fichier(s) importé(s) — regardez dans Musique/Vidéo/Photos.
sync-sheets.archivo-s-se-modificaron-ipod-fuera,acción de riesgo,%lld archivo(s) se modificaron en el iPod fuera de Aura Studio.,%lld 件のファイルが Aura Studio 以外で iPod 上で変更されました。,%lld Datei(en) haben sich auf dem iPod außerhalb von Aura Studio geändert.,Файлов изменено на iPod вне Aura Studio: %lld.,%lld fichier(s) ont été modifiés sur l’iPod en dehors d’Aura Studio.
sync-sheets.aura-studio-nunca-escribio-estos-archivo,acción de riesgo,Aura Studio nunca escribió estos archivos -- no forman parte de tu biblioteca. Puedes importarlos (se copian a tu Mac y pasan a ser parte de tu biblioteca) o eliminarlos del iPod.,これらのファイルは Aura Studio が書き込んだものではなく、ライブラリの一部でもありません。読み込む（Mac にコピーされ、ライブラリの一部になります）か、iPod から削除できます。,Aura Studio hat diese Dateien nie geschrieben – sie gehören nicht zu deiner Mediathek. Du kannst sie importieren (sie werden auf deinen Mac kopiert und Teil deiner Mediathek) oder vom iPod löschen.,Aura Studio никогда не записывала эти файлы — они не входят в вашу медиатеку. Их можно импортировать (они скопируются на ваш Mac и войдут в медиатеку) или удалить с iPod.,Aura Studio n’a jamais écrit ces fichiers — ils ne font pas partie de votre bibliothèque. Vous pouvez les importer (ils sont copiés sur votre Mac et rejoignent votre bibliothèque) ou les supprimer de l’iPod.
sync-sheets.conservar-ipod,acción de riesgo,Conservar los del iPod,iPod のものを残す,Die vom iPod behalten,"Оставить те, что на iPod",Conserver ceux de l’iPod
sync-sheets.contenido-solo-ipod,acción de riesgo,Contenido solo en el iPod,iPod にしかないコンテンツ,Inhalte nur auf dem iPod,Содержимое только на iPod,Contenu uniquement sur l’iPod
sync-sheets.eliminar-ipod,acción de riesgo,Eliminar del iPod,iPod から削除,Vom iPod löschen,Удалить с iPod,Supprimer de l’iPod
sync-sheets.esta-accion-no-se-puede-deshacer,acción de riesgo,Esta acción no se puede deshacer.,この操作は取り消せません。,Das lässt sich nicht rückgängig machen.,Это действие нельзя отменить.,Cette action est irréversible.
sync-sheets.importar-biblioteca,acción de riesgo,Importar a la biblioteca,ライブラリに読み込む,In die Mediathek importieren,Импортировать в медиатеку,Importer dans la bibliothèque
sync-sheets.quitar-ipod-elemento-s-que-ya,acción de riesgo,Quitar del iPod los %lld elemento(s) que ya no están en tu biblioteca,ライブラリにない %lld 件の項目を iPod から削除する,"Die %lld Objekt(e) vom iPod entfernen, die nicht mehr in deiner Mediathek sind","Убрать с iPod %lld объект(ов), которых больше нет в вашей медиатеке",Retirer de l’iPod les %lld élément(s) qui ne sont plus dans votre bibliothèque
sync-sheets.reemplazar-con-biblioteca,acción de riesgo,Reemplazar con la biblioteca,ライブラリのもので置き換える,Durch die aus der Mediathek ersetzen,"Заменить теми, что в медиатеке",Remplacer par ceux de la bibliothèque
sync-sheets.se-eliminaran-ipod-tu-biblioteca-mac,acción de riesgo,Se eliminarán del iPod. Tu biblioteca en la Mac no cambia.,iPod から削除されます。Mac のライブラリは変わりません。,Sie werden vom iPod gelöscht. Deine Mediathek auf dem Mac ändert sich nicht.,Они будут удалены с iPod. Ваша медиатека на Mac не изменится.,Ils seront supprimés de l’iPod. Votre bibliothèque sur le Mac ne change pas.
themes-view.construir-e-instalar,texto de riesgo,Construir e instalar,ビルドしてインストール,Erstellen und installieren,Собрать и установить,Construire et installer
themes-view.esto-borra-tema-ipod-si-estaba,texto de riesgo,"Esto borra el tema del iPod. Si estaba activo, Aura vuelve a ser el tema integrado.",テーマを iPod から削除します。使用中だった場合、Aura は内蔵テーマに戻ります。,"Damit wird das Thema vom iPod gelöscht. War es aktiv, ist Aura wieder das eingebaute Thema.","Это удалит тему с iPod. Если она была активной, Aura снова станет встроенной темой.","Cela supprime le thème de l’iPod. S’il était actif, Aura redevient le thème intégré."
themes-view.se-aplican-ipod-al-arrancar-tema,texto de riesgo,Se aplican en el iPod al arrancar. Un tema que no carga (formato incompatible o archivos faltantes) aparece atenuado -- el firmware nunca finge soportar lo que no tiene.,iPod の起動時に適用されます。読み込めないテーマ（対応していない形式やファイル不足）は淡く表示されます。ファームウェアは、備えていないものに対応しているふりをしません。,"Sie werden auf dem iPod beim Start angewendet. Ein Thema, das nicht lädt (inkompatibles Format oder fehlende Dateien), erscheint ausgegraut – die Firmware tut nie so, als könnte sie etwas, das sie nicht hat.","Они применяются на iPod при запуске. Тема, которая не загружается (несовместимый формат или недостающие файлы), показана серой — прошивка никогда не делает вид, что поддерживает то, чего у неё нет.",Ils s’appliquent sur l’iPod au démarrage. Un thème qui ne se charge pas (format incompatible ou fichiers manquants) apparaît grisé — le firmware ne fait jamais semblant de prendre en charge ce qu’il n’a pas.
video-settings-view.formato-video,acción de riesgo,Formato de video,ビデオの形式,Videoformat,Формат видео,Format vidéo
video-settings-view.organizar-por-categoria-biblioteca,acción de riesgo,Organizar por categoría en la biblioteca,ライブラリでカテゴリごとに整理,In der Mediathek nach Kategorie ordnen,Упорядочивать по категориям в медиатеке,Organiser par catégorie dans la bibliothèque
video-settings-view.separa-tus-videos-videos-series-pelicula,acción de riesgo,"Separa tus videos en Videos, Series y Películas para encontrarlos más fácil DENTRO de Aura Studio (la categoría se sugiere sola por duración al importar -- salvo ""Series"", que no tiene una heurística confiable y siempre se asigna a mano -- y se puede corregir en Biblioteca → Video). No cambia dónde quedan en el iPod: ahí siempre se copian juntos en ""Videos"", porque el reproductor del iPod todavía no navega por subcarpetas.",ビデオを「ビデオ」「シリーズ」「映画」に分け、Aura Studio の中で見つけやすくします（カテゴリは読み込み時に長さから提案されます。ただし「シリーズ」は信頼できる判定方法がないため、常に手動で指定します。ライブラリ → ビデオで直せます）。iPod 上での置き場所は変わりません。iPod のプレーヤーはまだサブフォルダをたどれないため、常にまとめて「Videos」にコピーされます。,"Teilt deine Videos in Videos, Serien und Filme auf, damit du sie INNERHALB von Aura Studio leichter findest (die Kategorie wird beim Import anhand der Länge vorgeschlagen – außer „Serien“, wofür es keine verlässliche Heuristik gibt und die immer von Hand vergeben wird – und du kannst sie unter Mediathek → Video korrigieren). Auf dem iPod ändert das nichts: Dort landen sie immer gemeinsam in „Videos“, weil der Player des iPods noch keine Unterordner durchsuchen kann.","Делит ваши видео на «Видео», «Сериалы» и «Фильмы», чтобы их было проще находить ВНУТРИ Aura Studio (категория предлагается по длительности при импорте — кроме «Сериалов», для которых нет надёжной эвристики и которые всегда задаются вручную, — и её можно исправить в разделе Медиатека → Видео). На iPod это ничего не меняет: там они всегда копируются вместе в «Videos», потому что плеер iPod пока не умеет заходить в подпапки.","Répartit vos vidéos en Vidéos, Séries et Films pour les retrouver plus facilement DANS Aura Studio (la catégorie est suggérée d’après la durée à l’import — sauf « Séries », qui n’a pas d’heuristique fiable et se choisit toujours à la main — et vous pouvez la corriger dans Bibliothèque → Vidéo). Cela ne change rien sur l’iPod : là, elles sont toujours copiées ensemble dans « Videos », car le lecteur de l’iPod ne parcourt pas encore les sous-dossiers."
video-settings-view.todo-video-se-convierte-320x240-mpeg,acción de riesgo,"Todo video se convierte a 320x240 MPEG-1/2 al sincronizar -- es el único formato que el iPod con Aura puede reproducir a velocidad completa (el chip de este iPod no puede decodificar H.264 ni formatos modernos). No es una preferencia: es una limitación real del hardware de 2007, así que aquí no hay nada que elegir.",すべてのビデオは同期時に 320×240 の MPEG-1/2 に変換されます。Aura を入れた iPod がフルスピードで再生できる唯一の形式です（この iPod のチップは H.264 や新しい形式をデコードできません）。好みの問題ではなく、2007 年のハードウェアの実際の制約なので、ここに選ぶものはありません。,"Jedes Video wird beim Synchronisieren in 320 × 240 MPEG-1/2 umgewandelt – das ist das einzige Format, das ein iPod mit Aura in voller Geschwindigkeit abspielen kann (der Chip dieses iPods kann H.264 und moderne Formate nicht dekodieren). Das ist keine Einstellungssache: Es ist eine echte Grenze der Hardware von 2007, also gibt es hier nichts zu wählen.","Любое видео при синхронизации преобразуется в 320 × 240 MPEG-1/2 — это единственный формат, который iPod с Aura воспроизводит на полной скорости (чип этого iPod не умеет декодировать H.264 и современные форматы). Это не вопрос предпочтений: это реальное ограничение железа 2007 года, поэтому здесь нечего выбирать.","Toute vidéo est convertie en 320 × 240 MPEG-1/2 à la synchronisation — c’est le seul format qu’un iPod avec Aura peut lire à pleine vitesse (la puce de cet iPod ne sait décoder ni le H.264 ni les formats modernes). Ce n’est pas une préférence : c’est une limite réelle du matériel de 2007, il n’y a donc rien à choisir ici."
welcome-view.entiendo-que-arranque-apple-se-borra,acción de riesgo,Entiendo que el arranque de Apple se borra,Apple のブートローダーが消去されることを理解しました,"Mir ist klar, dass Apples Bootloader gelöscht wird","Я понимаю, что загрузчик Apple будет удалён",Je comprends que le bootloader d’Apple sera effacé
welcome-view.firmware-original-apple-se-borra-arranqu,acción de riesgo,"El firmware original de Apple se borra del arranque del iPod. Una vez instalado, el iPod solo arranca %@; para volver a Apple hay que restaurarlo con iTunes/Finder desde cero. (El dual boot necesita un iPod en formato ""winpod"" -- restaurado desde Windows --, y un iPod restaurado desde Mac no lo es, asi que Aura Studio ya no lo ofrece.)",Apple の元のファームウェアは iPod のブートローダーから消去されます。インストール後、iPod は %@ だけを起動します。Apple に戻すには、iTunes / Finder で最初から復元する必要があります。（デュアルブートには「winpod」形式の iPod、つまり Windows から復元したものが必要です。Mac から復元した iPod はそれに当たらないため、Aura Studio ではもう提供していません。）,"Apples Original-Firmware wird aus dem Bootloader des iPods gelöscht. Nach der Installation startet der iPod nur noch %@; um zu Apple zurückzukehren, musst du ihn mit iTunes/Finder von Grund auf wiederherstellen. (Dual Boot braucht einen iPod im „winpod“-Format – von Windows wiederhergestellt –, und ein von einem Mac wiederhergestellter iPod ist das nicht, deshalb bietet Aura Studio es nicht mehr an.)","Оригинальная прошивка Apple удаляется из загрузчика iPod. После установки iPod запускается только с %@; чтобы вернуться к Apple, придётся восстановить его с нуля через iTunes/Finder. (Двойная загрузка требует iPod в формате «winpod» — восстановленного из Windows, — а iPod, восстановленный на Mac, таким не является, поэтому Aura Studio больше её не предлагает.)","Le firmware d’origine d’Apple est effacé du bootloader de l’iPod. Une fois installé, l’iPod ne démarre plus que sur %@ ; pour revenir à Apple, il faut le restaurer entièrement avec iTunes/Finder. (Le dual boot nécessite un iPod au format « winpod » — restauré depuis Windows — et un iPod restauré depuis un Mac ne l’est pas, c’est pourquoi Aura Studio ne le propose plus.)"
welcome-view.marca-casilla-arriba-para-continuar,acción de riesgo,Marca la casilla de arriba para continuar.,続けるには上のチェックボックスをオンにしてください。,"Kreuz oben das Kästchen an, um fortzufahren.","Отметьте флажок выше, чтобы продолжить.",Cochez la case ci-dessus pour continuer.
